,id_mapa,anio,mes,dia,fecha,franja,tipo,subtipo,uso_armas,barrio,comuna,latitud,longitud,victimas
944,LC-2020-0068156,2020,Febrero,Sábado,01/02/2020,10,Lesiones,Siniestro Vial,,San Cristóbal,3.0,-34.623561,-58.400427,
945,LC-2020-0068252,2020,Febrero,Sábado,01/02/2020,11,Lesiones,Siniestro Vial,,,,,,
946,LC-2020-0068335,2020,Febrero,Sábado,01/02/2020,11,Lesiones,Siniestro Vial,,Palermo,14.0,-34.582103,-58.420564,
947,LC-2020-0068363,2020,Febrero,Sábado,01/02/2020,12,Lesiones,Siniestro Vial,,Versalles,10.0,-34.628132,-58.529742,
948,LC-2020-0068421,2020,Febrero,Sábado,01/02/2020,14,Lesiones,Siniestro Vial,,Balvanera,3.0,-34.617623,-58.409401,
949,LC-2020-0068444,2020,Febrero,Sábado,01/02/2020,13,Lesiones,Siniestro Vial,,Agronomía,15.0,-34.587905,-58.491881,
950,LC-2020-0068518,2020,Febrero,Sábado,01/02/2020,15,Lesiones,Siniestro Vial,,Balvanera,3.0,-34.606135,-58.400958,
951,LC-2020-0068752,2020,Febrero,Sábado,01/02/2020,18,Lesiones,Siniestro Vial,,Palermo,14.0,-34.578168,-58.426535,
952,LC-2020-0068788,2020,Febrero,Sábado,01/02/2020,15,Lesiones,Siniestro Vial,,Liniers,9.0,-34.642355,-58.526166,
953,LC-2020-0068862,2020,Febrero,Sábado,01/02/2020,18,Lesiones,Siniestro Vial,,Villa Soldati,8.0,-34.669125,-58.44351,
954,LC-2020-0068902,2020,Febrero,Sábado,01/02/2020,19,Lesiones,Siniestro Vial,,Constitución,1.0,-34.63254,-58.38891,
955,LC-2020-0068909,2020,Febrero,Sábado,01/02/2020,20,Lesiones,Siniestro Vial,,Constitución,1.0,-34.622148,-58.381002,
956,LC-2020-0068977,2020,Febrero,Sábado,01/02/2020,22,Lesiones,Siniestro Vial,,Mataderos,9.0,-34.654467,-58.492821,
